table	model	class_or_axis	key	usd	comparator_usd	flag
preemption_sweep	OpenFold2	p=0.60	cheapest=on_demand_only	0.026322	0.021841	0.018854
preemption_sweep	Boltz2	p=0.00	cheapest=fallback_pre_then_od	0.018102	0.018102	0.032415
preemption_sweep	Boltz2	p=0.05	cheapest=preemptible_only	0.019055	0.019723	0.032415
preemption_sweep	Boltz2	p=0.10	cheapest=preemptible_only	0.020113	0.021343	0.032415
preemption_sweep	Boltz2	p=0.20	cheapest=preemptible_only	0.022627	0.024585	0.032415
preemption_sweep	Boltz2	p=0.30	cheapest=preemptible_only	0.025860	0.027826	0.032415
preemption_sweep	Boltz2	p=0.44155844	cheapest=fallback_pre_then_od	0.032415	0.032415	0.032415
preemption_sweep	Boltz2	p=0.60	cheapest=on_demand_only	0.045255	0.037551	0.032415
warm_top_k	adversarial	1	p95=146.824425	110.938606	156.245324	placeholder-derived
warm_top_k	adversarial	2	p95=125.071315	112.283289	158.843860	placeholder-derived
warm_top_k	adversarial	4	p95=121.055893	105.116781	150.611528	placeholder-derived
warm_top_k	adversarial	8	p95=126.055837	114.674761	159.985810	placeholder-derived
warm_top_k	adversarial	16	p95=129.698721	117.017255	162.696154	placeholder-derived
warm_top_k	bursty	1	p95=1965.569744	57.982461	86.621275	placeholder-derived
warm_top_k	bursty	2	p95=1762.985044	57.204775	83.954487	placeholder-derived
warm_top_k	bursty	4	p95=1113.25749	52.783959	75.809541	placeholder-derived
warm_top_k	bursty	8	p95=1383.160029	55.930776	80.990019	placeholder-derived
warm_top_k	bursty	16	p95=1335.366954	60.809448	86.617151	placeholder-derived
warm_top_k	correlated	1	p95=125.825261	120.537305	170.665423	placeholder-derived
warm_top_k	correlated	2	p95=160.309117	126.646544	174.766134	placeholder-derived
warm_top_k	correlated	4	p95=144.927424	121.341234	169.115550	placeholder-derived
warm_top_k	correlated	8	p95=149.165312	131.846688	181.255693	placeholder-derived
warm_top_k	correlated	16	p95=149.521733	142.879220	191.073510	placeholder-derived
warm_top_k	uniform	1	p95=147.110295	114.157838	159.394402	placeholder-derived
warm_top_k	uniform	2	p95=160.309117	127.169211	174.661989	placeholder-derived
warm_top_k	uniform	4	p95=147.740893	125.533149	172.914848	placeholder-derived
warm_top_k	uniform	8	p95=147.154489	115.860233	161.337916	placeholder-derived
warm_top_k	uniform	16	p95=151.94445	134.351630	180.015115	placeholder-derived
